Accuracy,PrecisionNotReopen,RecallNotReopen,F-MeasureNotReopen,PrecisionReopen,RecallReopen,F-MeasureReopen
0.771978,0.804,0.72,0.759,0.746,0.824,0.783
0.804945,0.854,0.736,0.791,0.768,0.874,0.817
0.763736,0.764,0.764,0.764,0.764,0.764,0.764
0.774725,0.794,0.742,0.767,0.758,0.808,0.782
0.774725,0.813,0.714,0.76,0.745,0.835,0.788
0.807692,0.829,0.775,0.801,0.789,0.841,0.814
0.821429,0.827,0.813,0.82,0.816,0.83,0.823
0.796703,0.8,0.791,0.796,0.793,0.802,0.798
0.793956,0.809,0.769,0.789,0.78,0.819,0.799
0.771978,0.783,0.753,0.768,0.762,0.791,0.776
0.7881867,0.8077,0.7577,0.7815,0.7721,0.8188,0.7944
0.7843405,0.8065,0.7585,0.7785,0.766,0.8215,0.793
0.019315726,0.025342323,0.031098589,0.0207806,0.022387745,0.030054765,0.019248088
