@relation reopenBugInFuture
@attribute STR numeric
@attribute EB numeric
@attribute DWL numeric
@attribute DN numeric
@attribute OPC numeric
@attribute OPF numeric
@attribute FPC numeric
@attribute FPF numeric
@attribute SS numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,1.0,326.0,1.0,4.0,16.0,5.0,17.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,1.0,30.0,3.0,0.0,0.0,376.0,35.0,1.0,585.0,585.0,0.0,0.0,0.0,0.0,1.9237668161434978,1.9237668161434978,22.0,22.0,3.0,3.0,585.0,585.0,444.0,444.0,0.0,0.0,19.0,19.0,36.0,36.0,19.0,19.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,31.0,31.0,89.0,89.0,false
0.0,0.0,52.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,0.0,26.0,1.0,245.0,178.0,245.0,178.0,0.0,121.0,602.4285714285714,0.0,0.0,0.0,0.0,1.4736842105263157,6.599200176138211,5.0,11.428571428571429,1.0,1.7142857142857142,121.0,601.7142857142857,2.0,17819.0,0.0,0.0,2.0,2.5714285714285716,5.0,53.857142857142854,4.0,53.142857142857146,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.42857142857142855,8.0,33.285714285714285,9.0,98.42857142857143,false
0.0,0.0,57.0,1.0,216.0,158.0,216.0,158.0,0.0,401.0,523.0,6.0,17.0,0.0,0.0,20.148809523809526,28.96228334245576,17.0,22.5,1.0,2.1666666666666665,317.0,450.6666666666667,94.5,1230.0,0.0,0.16666666666666666,0.0,5.666666666666667,17.0,22.5,9.0,19.5,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,0.0,0.5,28.0,37.833333333333336,69.5,72.0,false
0.0,0.0,57.0,0.0,208.0,151.0,208.0,151.0,0.0,149.0,382.125,0.0,3.5,0.0,0.0,12.380952380952381,13.148242594910306,13.0,14.875,1.0,2.125,136.0,352.375,40.5,1225.75,0.0,0.0,8.5,6.0,10.0,23.0,7.0,20.875,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.375,20.5,45.5,30.5,51.625,false
0.0,0.0,54.0,1.0,177.0,134.0,177.0,134.0,0.0,152.0,164.33333333333334,1.0,1.3333333333333321,0.0,0.0,16.0,16.06060606060606,9.0,10.666666666666666,1.0,2.0,140.0,155.0,78.0,98.66666666666667,0.0,0.0,0.0,2.3333333333333335,15.0,13.0,11.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,19.0,18.0,21.0,23.666666666666668,false
0.0,0.0,42.0,1.0,212.0,155.0,213.0,155.0,0.0,983.0,850.3333333333334,7.0,5.0,0.0,0.0,34.21739130434783,33.467525496511,33.0,31.333333333333332,1.0,2.0,953.0,829.0,4351.0,4040.6666666666665,0.0,0.0,2.0,7.666666666666667,46.0,41.666666666666664,42.0,36.333333333333336,0.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,99.0,86.0,119.0,120.66666666666667,false
0.0,0.0,134.0,2.0,186.0,141.0,187.0,141.0,1.0,177.0,224.25,2.0,2.0,0.0,0.0,13.696969696969695,18.43109442640693,21.5,20.0625,4.5,4.125,176.0,222.875,50.0,45.1875,0.0,0.0,11.5,12.625,18.5,17.375,12.5,11.75,0.0,0.0,0.0,0.0,2.0,1.875,2.0,1.875,28.0,28.0,36.5,60.1875,false
0.0,0.0,60.0,3.0,137.0,95.0,137.0,95.0,0.3333333333333333,208.0,286.8666666666667,9.0,1.1333333333333329,0.0,0.0,14.375,15.288236528236528,14.0,15.0,2.0,3.7333333333333334,208.0,270.2,29.0,455.8,0.0,0.0,3.0,7.0,12.0,17.4,10.0,14.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.1333333333333333,0.0,1.1333333333333333,29.0,33.8,28.0,44.86666666666667,false
