Accuracy,PrecisionNotReopen,RecallNotReopen,F-MeasureNotReopen,PrecisionReopen,RecallReopen,F-MeasureReopen
0.637363,0.693,0.819,0.751,0.431,0.275,0.336
0.67033,0.715,0.841,0.773,0.508,0.33,0.4
0.677656,0.722,0.841,0.777,0.525,0.352,0.421
0.692308,0.738,0.835,0.784,0.552,0.407,0.468
0.655678,0.71,0.819,0.76,0.476,0.33,0.39
0.699634,0.727,0.879,0.796,0.585,0.341,0.431
0.721612,0.741,0.896,0.811,0.642,0.374,0.472
0.663004,0.705,0.852,0.771,0.491,0.286,0.361
0.681319,0.721,0.852,0.781,0.534,0.341,0.416
0.67033,0.709,0.857,0.776,0.509,0.297,0.375
0.6769234,0.7181,0.8491,0.778,0.5253,0.3333,0.407
0.673993,0.718,0.8465,0.7765,0.517,0.3355,0.408
0.02372639,0.014843255,0.02430112,0.016964014,0.058723552,0.040183053,0.043865957
