Accuracy,PrecisionNotReopen,RecallNotReopen,F-MeasureNotReopen,PrecisionReopen,RecallReopen,F-MeasureReopen
0.642857,0.655,0.604,0.629,0.633,0.681,0.656
0.730769,0.723,0.747,0.735,0.739,0.714,0.726
0.620879,0.617,0.637,0.627,0.625,0.604,0.615
0.736264,0.731,0.747,0.739,0.742,0.725,0.733
0.659341,0.659,0.659,0.659,0.659,0.659,0.659
0.642857,0.638,0.659,0.649,0.648,0.626,0.637
0.631868,0.625,0.659,0.642,0.64,0.604,0.621
0.697802,0.691,0.714,0.703,0.705,0.681,0.693
0.648352,0.648,0.648,0.648,0.648,0.648,0.648
0.642857,0.655,0.604,0.629,0.633,0.681,0.656
0.6653846,0.6642,0.6678,0.666,0.6672,0.6623,0.6644
0.6456045,0.655,0.659,0.6485,0.648,0.67,0.656
0.041235261,0.038798053,0.052061502,0.043405069,0.044526646,0.042142747,0.040596114
