@relation reopenBugInFuture
@attribute STR numeric
@attribute EB numeric
@attribute DWL numeric
@attribute DN numeric
@attribute OPC numeric
@attribute OPF numeric
@attribute FPC numeric
@attribute FPF numeric
@attribute SS numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,1.0,21.0,1.0,140.0,4.0,125.0,23.0,1.0,490.0,490.0,0.0,0.0,0.0,0.0,15.48,15.48,43.0,43.0,1.0,1.0,491.0,491.0,584.0,584.0,0.0,0.0,17.0,17.0,53.0,53.0,49.0,49.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,109.0,109.0,110.0,110.0,false
0.0,0.0,244.0,2.0,6.0,1.0,6.0,1.0,1.0,617.5,629.0,5.0,3.0,0.0,0.0,16.014778325123153,15.88134749589491,18.5,17.25,2.0,4.75,605.5,619.5,221.0,295.75,0.0,0.0,3.5,10.0,33.0,31.75,30.0,27.0,0.0,0.0,1.5,1.25,3.5,3.25,3.5,3.25,52.0,56.25,70.0,74.75,false
0.0,0.0,93.0,4.0,0.0,0.0,356.0,37.0,0.3333333333333333,446.0,446.0,4.5,4.5,0.0,0.0,11.013191489361702,11.013191489361702,25.5,25.5,2.5,2.5,432.0,432.0,1.5,1.5,0.0,0.0,5.0,5.0,15.5,15.5,12.5,12.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,36.5,36.5,100.0,100.0,true
0.0,0.0,28.0,2.0,416.0,131.0,678.0,137.0,1.0,189.0,189.0,-24.0,-24.0,0.0,0.0,10.478260869565217,10.478260869565217,36.0,36.0,7.0,7.0,294.0,294.0,158.0,158.0,0.0,0.0,12.0,12.0,20.0,20.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,60.0,60.0,false
0.0,0.0,17.0,0.0,417.0,131.0,418.0,132.0,0.0,312.0,312.0,4.5,4.5,0.0,0.0,8.041538461538462,8.041538461538462,24.0,24.0,3.5,3.5,276.0,276.0,47.0,47.0,0.0,0.0,8.5,8.5,16.5,16.5,8.5,8.5,1.5,1.5,0.0,0.0,1.5,1.5,1.5,1.5,36.0,36.0,30.5,30.5,false
0.0,0.0,15.0,0.0,772.0,117.0,772.0,117.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,5.052631578947368,5.052631578947368,5.0,5.0,1.0,1.0,140.0,140.0,4.0,4.0,0.0,0.0,4.0,4.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,44.0,44.0,false
0.0,0.0,35.0,3.0,223.0,57.0,225.0,57.0,0.0,656.5,656.5,2.0,2.0,0.0,0.0,12.921875,12.921875,53.5,53.5,8.0,8.0,642.5,642.5,591.5,591.5,0.0,0.0,15.5,15.5,31.0,31.0,24.0,24.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,118.0,118.0,100.0,100.0,false
0.0,0.0,38.0,1.0,150.0,40.0,165.0,43.0,0.0,133.0,183.55555555555554,0.0,1.7777777777777786,0.0,0.002857242374577456,5.842105263157895,6.487986263524473,12.5,15.833333333333334,3.0,5.388888888888889,131.0,175.11111111111111,0.0,51.111111111111114,0.0,0.4444444444444444,1.0,5.277777777777778,7.0,18.166666666666668,6.0,14.333333333333334,0.0,0.5,0.0,0.4444444444444444,0.0,0.5555555555555556,0.0,0.5555555555555556,10.5,18.444444444444443,21.0,34.05555555555556,false
0.0,0.0,20.0,1.0,8.0,5.0,162.0,35.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
0.0,0.0,2512.0,1.0,0.0,0.0,380.0,60.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,false
